English,inuktitut
I've already promised Tom I'd help him.," , ᐅᖃᕇᖅᓯᒪᔪᖓ , ᑖᒻ , ᐃᑲᔪᕐᓂᐊᕐᓂᕋᖅᑐᒍ."
I've already promised Tom that I'd help him.," , ᐅᖃᕇᖅᓯᒪᕗᖓ , ᑖᒻ , ᐃᑲᔪᕐᓂᐊᕐᓂᕋᖅᑐᒍ."
I've already published three books.," , ᐱᖓᓱᓂᒃ , ᐅᖃᓕᒫᒐᕐᓂᒃ , ᓴᖅᑭᑦᑎᓯᒫᓂᓕᖅᑐᖓ."
I've already read that novel.," , ᑖᓐᓇ , ᐅᖃᓕᒫᕇᖅᑕᕋ."
I've already read the book you lent me.," , ᐅᖃᓕᒫᕇᖅᓯᒪᕙᕋ , ᐅᖃᓕᒫᒐᖅ , ᐅᕙᓐᓄᑦ."
I've already read this book.," , ᑖᓐᓇ , ᐅᖃᓕᒫᕇᖅᑕᕋ."
I've already returned the books.," , ᑖᒃᑯᐊ , ᐅᑎᖅᑎᓯᒪᓕᖅᑕᒃᑲ."
I've already said no.," , ᐋᒡᒑᕇᖅᑲᐅᔪᖓ."
I've already said yes.," , ᐊᖏᕇᖅᑲᐅᔪᖓ."
I've already saved your life twice.," , ᐃᓅᓯᕐᓂᑦ , ᐱᐅᓕᑦᓯᓯᒪᓕᕇᖅᑐᖓ , ᒪᕐᕈᐊᑎᖅᑐᖓ."
I've already seen this.," , ᑕᒪᓐᓇ , ᑕᑯᔭᕇᖅᓯᒪᔭᕋ."
I've already showered.," , ᐅᕕᓂᓐᓂᐊᕇᕋᒪ."
I've already sold it.," , ᓂᐅᕐᕈᑎᒋᒌᖅᓯᒪᕙᕋ."
I've already spoken to Tom.," , ᐅᖃᖃᑎᒋᒌᖅᓯᒪᔭᕋ , ᑖᒻ."
I've already spoken with Tom.," , ᐅᖃᖃᑎᒋᒌᖅᓯᒪᔭᕋ , ᑖᒻ."
I've already taken my shoes off.," , ᐃᓯᒐᐅᔭᒃᑲ , ᐲᕇᖅᑕᒃᑲ."
I've already taken out the garbage.," , ᐊᒃᑕᑯᐃᑦ , ᐲᕇᕐᓯᒪᒐᒃᑭᑦ."
I've already taken the garbage out.," , ᐊᒃᑕᑰᓯᕝᕕᒃ , ᐲᕇᖅᑲᐅᔭᕋ."
I've already talked to Tom.," , ᐅᖃᖃᑎᒋᒌᖅᓯᒪᔭᕋ , ᑖᒻ."
I've already tested them.," , ᖃᐅᔨᓴᕇᖅᓯᒪᕙᒃᑲ."
I've already told Tom about it.," , ᐅᖃᐅᑎᒌᖅᓯᒪᕙᕋ , ᑖᒻ , ᑕᒪᑐᒪ , ᒥᔅᓵᓄᑦ."
I've already told Tom what I need to buy.," , ᐅᖃᐅᑎᒌᖅᓯᒪᔭᕋ , ᑖᒻ , ᓂᐅᕕᕆᐊᖃᕐᓂᕋ."
I've already told Tom.," , ᐅᖃᐅᑎᒌᖅᓯᒪᔭᕋ , ᑖᒻ."
I've already told everyone.," , ᐅᖃᐅᑎᔭᐃᓐᓇᕆᓯᒪᔭᐃᓐᓇᕆᒐᒃᑭᑦ."
I've already told you everything.," , ᐅᖃᐅᑎᒌᖅᓯᒪᒐᒃᑭᑦ , ᑭᓱᓕᒫᑦ."
I've already told you that three times.," , ᐅᖃᐅᑎᒌᖅᓯᒪᕙᒋᑦ , ᐱᖓᓱᐊᖅᑎᖅᑐᖓ."
I've already told you what I know.," , ᐅᖃᐅᑎᒌᖅᓯᒪᒃᑭᑦ , ᖃᐅᔨᒪᔭᓐᓂᒃ."
I've already told you what to do.," , ᐅᖃᐅᑎᒌᖅᓯᒪᒃᑭᑦ , ᖃᓄᐃᓕᐅᖁᓗᒋᑦ."
I've already tried doing that.," , ᑕᐃᒪᐃᒐᓱᐊᖅᓯᒪᓕᕇᖅᑐᖓ."
I've already tried.," , ᐆᑦᑐᕇᖅᓯᒪᔪᖓ."
I've already turned off my computer.," , ᖃᕆᓴᐅᔭᕋ , ᖃᒥᒌᕋᒃᑯ."
I've already waited for three hours.," , ᐃᑲᕐᕋᓂᒃ , ᐱᖓᓱᓂᒃ , ᐅᑕᖅᑭᓯᒪᓕᕇᕋᒪ."
I've already washed the dishes.," , ᓂᕐᕆᓯᑦ , ᐅᐊᓴᕇᖅᓯᒪᒐᒃᑭᑦ."
I've already written a letter.," , ᑎᑎᕋᕇᖅᓯᒪᕗᖓ."
I've already written three books.," , ᑎᑎᕋᕇᖅᓯᒪᕗᖓ , ᐱᖓᓱᓂᑦ , ᐅᖃᓕᒫᒐᕐᓂᑦ."
I've already written to Tom three times.," , ᑎᑎᕋᕇᖅᓯᒪᕗᖓ , ᑖᒻᒧᑦ , ᐱᖓᓱᐊᖅᑎᖅᑐᖓ."
I've always admired Tom.," , ᐅᐱᒋᐃᓐᓇᖃᑦᑕᖅᑕᕋ , ᑖᒻ."
"I've always admired you, Tom."," , ᐅᐱᒋᐃᓐᓇᖅᐸᒋᑦ, , ᑖᒻ."
I've always been a musician.," , ᑎᑕᒃᑎᐅᖏᓐᓇᐅᔭᖅᑐᖓ."
I've always been crazy.," , ᖀᒥᒍᓱᐃᓐᓇᓲᖑᔪᖓ."
I've always been fair.," , ᓈᒻᒪᐃᓐᓇᐅᔭᖅᑐᖓ."
I've always been fat.," , ᖁᐃᓂᐃᓐᓇᐅᔭᖅᑐᖓ."
I've always been lucky.," , ᖁᕕᐊᓇᐃᓐᓇᐅᔭᖅᑐᖓ."
I've always been shy.," , ᑲᖑᓱᐃᓐᓇᓲᖑᔪᖓ."
I've always been smart.," , ᓯᓚᑐᔫᖏᓐᓇᓲᖑᔪᖓ."
I've always been stubborn.," , ᐅᕕᓂᖕᓂᐊᐃᓐᓇᓲᖑᔪᖓ."
I've always been this way.," , ᑕᐃᒪᐃᖏᓐᓇᐅᔭᖅᑐᖓ."
I've always been very competitive.," , ᐊᑭᑦᑐᕋᐅᑎᖃᑕᐅᖏᓐᓇᓲᖑᔪᖓ."
I've always been very nice to Tom.," , ᑖᒥ , ᐊᒃᓱᐊᓗᒃ , ᐱᐅᖏᓐᓇᐅᔭᕋᒪ."
I've always gotten along well with Tom.," , ᑖᒻ , ᐱᖃᑎᐊᓗᒋᑦᑎᐊᓲᕆᒐᒃᑯ."
I've always had an interest in the paranormal.," , ᐱᔪᒪᓂᖃᐃᓐᓇᓲᖑᔪᖓ , ᐃᓕᖅᑯᓯᕆᒐᔪᙱᑕᓐᓂᒃ."
I've always had trouble reading between the lines.," , ᐅᖃᓕᒫᕈᓐᓇᑦᑎᐊᖃᑦᑕᖏᓐᓇᒪ , ᑖᒃᑯᓂᖓ."
I've always hated Tom.," , ᖀᒥᒋᖃᑦᑕᖅᑕᕋ , ᑖᒻ."
I've always hated biology.," , ᖀᒥᒍᓱᐃᓐᓇᓲᖑᔪᖓ , ᐆᒪᔪᓂᒃ."
I've always helped Tom.," , ᐃᑲᔪᐃᓐᓇᐅᔭᖅᑕᕋ , ᑖᒻ."
I've always hoped to sail across the Pacific in a yacht.," , ᓂᕆᐅᐃᓐᓇᓲᖑᔪᖓ , ᐅᒥᐊᖅᑐᕐᓂᐊᕆᐊᒃᓴᖅ , ᓯᒡᔭᒥ."
I've always known it.," , ᖃᐅᔨᒪᐃᓐᓇᖃᑦᑕᕋᒃᑯ."
I've always known that.," , ᑕᒪᓐᓇ , ᖃᐅᔨᒪᐃᓐᓇᖃᑦᑕᕋᒃᑯ."
I've always liked Tom.," , ᑖᒻ , ᐱᐅᒋᐃᓐᓇᐅᔭᖅᑕᕋ."
I've always liked books.," , ᐅᖃᓕᒫᒐᕐᓂᑦ , ᐱᐅᑦᓴᐃᓐᓇᓲᖑᔪᖓ."
I've always liked football.," , ᐊᖅᓴᒥᒃ , ᐱᐅᑦᓴᐃᓐᓇᓲᖑᔪᖓ."
I've always liked horror movies.," , ᐱᐅᒋᔭᖃᐃᓐᓇᐅᔭᖅᑐᖓ , ᑕᕐᕆᔭᕐᓂᒃ."
I've always liked playing football.," , ᐊᖅᓴᒥᒃ , ᐱᙳᐊᕈᒪᐃᓐᓇᓲᖑᔪᖓ."
I've always liked soccer.," , ᐊᕿᔭᖃᑦᑕᖅᑐᖓ."
I've always lived in Australia.," , ᐋᔅᑐᕋᐃᓕᐊᒥᐅᑕᐅᖏᓐᓇᐅᔭᖅᑐᖓ."
I've always lived in Boston.," , ᐹᔅᑕᓐᒥᐅᑕᐅᖏᓐᓇᐅᔭᖅᑐᖓ."
I've always loved elephants.," , ᓇᒡᓕᒋᔭᐅᖏᓐᓇᓲᖑᔪᖓ."
I've always loved you.," , ᓇᒡᓕᒋᔭᐅᖏᓐᓇᐅᔭᖅᑐᖓ."
I've always respected Tom.," , ᑖᒻ , ᐅᐱᒋᐃᓐᓇᓲᕆᒐᒃᑯ."
I've always respected you.," , ᐅᑉᐱᕆᑦᑎᐊᖃᑦᑕᕋᒃᑭᑦ."
I've always thought you were a Canadian.," , ᑲᓇᑕᒥᐅᑕᐅᓇᓱᒋᐃᓐᓇᖃᑦᑕᕋᒃᑭᑦ."
I've always trusted you.," , ᐅᒃᐱᕆᐃᓐᓇᖃᑦᑕᕋᒃᑭᑦ."
I've always wanted to go to Australia.," , ᐋᔅᑐᕋᐃᓕᐊᓕᐊᕈᒪᐃᓐᓇᓲᖑᒐᒪ."
I've always wanted to go to another country.," , ᐊᓯᐊᓄᑦ , ᓄᓇᒧᐊᕈᒪᐃᓐᓇᕋᒪ."
I've always wanted to learn to cook like you.," , ᐃᓕᑦᑎᔪᒪᐃᓐᓇᐅᔭᖅᑐᖓ , ᓂᕿᓕᐅᕐᓂᕐᒥᒃ , ᐃᕝᕕᑎᑐᑦ."
I've always wanted to live in a mansion.," , ᐃᓅᔪᒪᐃᓐᓇᓲᖑᒐᒪ."
I've always wanted to meet Tom.," , ᑖᒻ , ᑲᑎᖃᑎᒋᔪᒪᐃᓐᓇᐅᔭᖅᑕᕋ."
I've always wanted to meet you.," , ᑲᑎᖃᑎᒋᔪᒪᐃᓐᓇᐅᔭᖅᐸᒋᑦ."
I've always wanted to play the trombone.," , ᐱᓐᖑᐊᕈᒪᐃᓐᓇᓲᖑᒐᒪ."
I've always wanted to try to learn French.," , ᐅᐃᕖᑎᑐᑦ , ᐃᓕᓐᓂᐊᕋᓱᐃᓐᓇᕈᒪᖃᑦᑕᖅᑐᖓ."
I've always wanted to visit Australia.," , ᐋᔅᑐᕋᐃᓕᐊᓕᐊᕈᒪᐃᓐᓇᓲᖑᔪᖓ."
I've always wanted to visit Boston.," , ᐹᔅᑕᓐ , ᐳᓛᕆᐊᕈᒪᐃᓐᓇᐅᔭᖅᑕᕋ."
I've always wanted to wear a tux.," , ᐊᑐᕈᒪᐃᓐᓇᓲᖑᔪᖓ."
I've always wanted to write a children's book.," , ᑎᑎᕋᕈᒪᐃᓐᓇᓲᖑᒐᒪ , ᓱᕈᓯᕐᓄᑦ , ᐅᖃᓕᒫᒐᕐᒥᒃ."
I've analyzed the data.," , ᖃᐅᔨᓴᖅᓯᒪᔭᒃᑲ , ᑎᑎᕋᖅᓯᒪᔪᑦ , ᖃᐅᔨᓴᖅᑕᐅᓂᑯᐃᑦ."
I've answered Tom's question.," , ᑖᒻᐅᑉ , ᐊᐱᖅᑯᑎᖓ , ᑭᐅᕙᕋ."
I've answered Tom's questions.," , ᑭᐅᕙᕋ , ᑖᒻᐅᑉ , ᐊᐱᖅᑯᑎᖏᑦ."
I've answered your questions.," , ᑭᐅᕙᒃᑲ , ᐊᐱᖅᑯᑎᑎᑦ."
I've arranged for Tom to meet you at the airport.," , ᐋᖅᑭᒃᓯᓯᒪᕗᖓ , ᑖᒻ , ᒥᑦᑕᕐᕕᖕᒧᑦ , ᑲᑎᖃᑎᒋᓛᕋᒃᑭᑦ."
I've asked Tom to help us.," , ᑖᒻ , ᐃᑲᔪᖁᓯᒪᕙᕋ."
I've asked Tom to sing a couple of songs.," , ᑖᒻ , ᐃᙱᖁᓯᒪᕙᕋ , ᒪᕐᕉᓐᓂᒃ , ᐃᓐᖏᐅᓰᓐᓂᒃ."
I've asked Tom to stop doing that.," , ᑖᒻ , ᓄᖅᑲᖁᓯᒪᕙᕋ."
I've asked you repeatedly not to sing so late at night.," , ᐅᓐᓄᐊᖏᓐᓇᖅ , ᐃᓐᖏᖃᑦᑕᖁᖃᑦᑕᖏᒃᑭᒃᑭᑦ."
I've become accustomed to the smell.," , ᑎᐱᖃᓕᕋᒪ."
I've become used to Tom.," , ᐊᑐᖃᑦᑕᖅᓯᒪᕗᖓ , ᑖᒻᒧᑦ."
I've been accused of being dishonest.," , ᐸᓯᔭᑦᓴᐅᓯᒪᒐᒪ , ᓂᑲᒍᓱᓐᓂᕋᖅᑐᖓ."
I've been arrested three times.," , ᐱᖓᓱᐊᖅᑎᖅᑐᖓ , ᑎᒍᔭᐅᓯᒪᒐᒪ."
I've been asked to give you a message.," , ᐊᐱᕆᔭᐅᓯᒪᒐᒪ , ᑐᓴᖅᑎᑦᑎᖁᔭᐅᓪᓗᖓ."
I've been asked to help Tom write a speech.," , ᐊᐱᕆᔭᐅᓯᒪᒐᒪ , ᐃᑲᔪᖁᔭᐅᓪᓗᖓ , ᑖᒻ , ᑎᑎᕋᖅᑎᓪᓗᒍ , ᐅᖃᓕᒪᑎᓪᓗᒍ."
I've been asked to help Tom.," , ᐊᐱᕆᔭᐅᓯᒪᒐᒪ , ᐃᑲᔪᖁᔭᐅᓪᓗᖓ , ᑖᒻᒥᒃ."
I've been asked to leave.," , ᐊᓂᖁᔭᐅᓯᒪᒐᒪ."
I've been asked to sing a song.," , ᐃᙱᖁᔭᐅᓯᒪᒐᒪ."
I've been asked to teach Tom French.," , ᐊᐱᕆᔭᐅᓯᒪᒐᒪ , ᐃᓕᓐᓂᐊᖅᑎᑦᑎᖁᔭᐅᓪᓗᖓ , ᑖᒻ , ᐅᐃᕕᑎᑐᑦ."
I've been assigned to do that.," , ᑎᓕᔭᐅᓯᒪᒐᒪ , ᑕᐃᒪᐃᓕᐅᖁᔭᐅᓪᓗᖓ."
I've been awake since 6:30.," , ᐃᖅᑯᒻᒪᖅᓯᒪᓕᕋᒪ , 6:30-ᒥᓂᑦ."
I've been bitten by a snake.," , ᑮᔭᐅᓯᒪᒐᒪ."
I've been blacklisted.," , ᕿᕐᓂᖅᑕᐅᒐᒪ."
I've been boxing since I was thirteen.," , ᕿᑐᑦᑐᒐᐅᔭᓕᕋᒪ , 13-ᖑᓚᐅᖅᓯᒪᒐᒪᓂᑦ."
I've been busy all morning.," , ᐅᓪᓛᓕᒫᖅ , ᐱᔭᒃᓴᖃᐃᓐᓇᐅᔭᖅᑐᖓ."
I've been busy for three days.," , ᐅᓪᓗᓄᑦ , ᐱᖓᓱᓄᑦ , ᐱᓕᕆᐊᒃᓴᖃᖅᓯᒪᕗᖓ."
I've been busy this week.," , ᐱᔭᒃᓴᖃᖅᓯᒪᕗᖓ , ᑕᒪᑐᒪᓂ , ᐱᓇᓱᐊᕈᓯᕐᒥ."
I've been busy today.," , ᐅᓪᓗᒥ , ᐱᔭᒃᓴᖃᖅᓯᒪᕗᖓ."
I've been captured.," , ᐱᔭᐅᓯᒪᒐᒪ."
I've been chosen.," , ᓂᕈᐊᖅᑕᐅᓯᒪᒐᒪ."
I've been demoted.," , ᐃᒍᑦᑎᖅᑕᐅᒐᒪ."
I've been detained.," , ᑎᒍᔭᐅᒐᒪ."
I've been doing that all morning.," , ᐅᓪᓛᓕᒫᖅ , ᑕᐃᒪᐃᓕᐅᖃᑦᑕᖅᑐᖓ."
I've been doing that all week.," , ᑕᐃᒪᐃᓕᐅᖃᑦᑕᖅᓯᒪᕗᖓ , ᐱᓇᓱᐊᕈᓯᓕᒫᒥᑦ."
I've been doing that every night.," , ᑕᐃᒪᐃᖃᑦᑕᖅᑐᖓ , ᐅᓐᓄᑕᒫᑦ."
I've been doing this 30 years.," , ᑕᐃᒪᐃᓕᐅᖅᓯᒪᓕᕋᒪ , 30-ᓂᒃ , ᐊᕐᕌᒍᓂᒃ."
I've been doing this all day.," , ᐅᓪᓗᓕᒫᖅ , ᑕᐃᒪᐃᓕᐅᖏᓐᓇᖅᑐᖓ."
I've been doing this for three hours.," , ᑕᒪᓐᓇ , ᐱᓕᕆᐊᕆᓯᒪᓕᖅᑕᕋ , ᐃᑲᕐᕋᓄᑦ , ᐱᖓᓱᓄᑦ."
I've been doing this for years.," , ᑕᒪᓐᓇ , ᐱᓕᕆᐊᕆᓯᒪᓕᕋᒃᑯ , ᐊᕐᕌᒍᕋᓴᓐᓂᒃ."
I've been dreaming a lot lately.," , ᓯᓐᓇᑦᑑᒪᓯᒪᓕᕋᒪ , ᒫᓐᓇᕈᓗᒃ."
I've been dreaming.," , ᓯᓐᓇᑦᑑᒪᓯᒪᕗᖓ."
I've been drinking all day.," , ᐅᓪᓗᓕᒫᖅ , ᐃᒥᑲᑕᐃᓐᓇᕋᒪ."
I've been evicted.," , ᐊᓂᑕᐅᓯᒪᒐᒪ."
I've been expecting your call.," , ᓂᕆᐅᒃᓯᒪᒐᒪ , ᐅᖄᓚᓂᐊᕐᓂᕐᓂᒃ."
I've been expelled from school.," , ᐊᓂᑕᐅᓯᒪᕗᖓ , ᐃᓕᓐᓂᐊᕐᕕᖕᒥᑦ."
I've been fired.," , ᐊᕕᑕᐅᒐᒪ."
I've been forgiven.," , ᐃᓱᒪᒋᔪᓐᓇᐃᖅᑕᐅᒐᒪ."
I've been friends with Tom since we were children.," , ᐱᖃᓐᓇᕆᔭᖃᖃᑦᑕᖅᓯᒪᕗᖓ , ᑖᒻᒥᒃ , ᓄᑕᕋᐅᓚᐅᖅᓯᒪᒐᑦᑕᓂᑦ."
I've been given permission to do that.," , ᐱᔪᓐᓇᖅᑎᑕᐅᓯᒪᒐᒪ , ᑕᐃᒪᐃᒍᓐᓇᖅᑎᑕᐅᓪᓗᖓ."
I've been going out with Mary for months.," , ᐊᐅᓪᓚᖃᑎᒋᓯᒪᓕᖅᑕᕋ , ᒥᐊᓕ , ᑕᖅᑭᒐᓵᓗᓐᓄᑦ."
I've been having trouble breathing.," , ᐊᓂᖅᑎᕆᒡᒐᖃᑦᑕᖅᑐᖓ."
I've been here a couple hours.," , ᐃᑲᕐᕌᓐᓂᒃ , ᒪᕐᕉᓐᓂᒃ , ᑕᒫᓃᓕᕋᒪ."
I've been here a lot longer than Tom has.," , ᐊᑯᓂᐅᓂᕐᓴᖅ , ᑕᒫᓃᓕᕋᒪ , ᑖᒻᒥᒃ."
I've been here a lot longer than Tom.," , ᑕᑭᓂᖅᓴᐅᓕᕋᒪ , ᑖᒻᒥᒃ."
I've been here almost three hours.," , ᐃᑲᕐᕋᓄᑦ , ᐱᖓᓱᑲᓴᐅᓕᕐᒪᑕ."
I've been here almost three years now.," , ᑕᕝᕙᓃᓕᕋᒪ , ᐱᖓᓱᑲᓴᐅᓕᖅᑐᑦ , ᐊᕐᕌᒍᐃᑦ."
I've been here an hour.," , ᐃᑲᕐᕋᒥᒃ , ᐊᑕᐅᓯᕐᒥᒃ , ᑕᕝᕙᓃᓕᕋᒪ."
I've been here for a couple hours.," , ᐃᑲᕐᕌᓐᓂᒃ , ᒪᕐᕉᓐᓂᒃ , ᑕᒫᓃᓕᕋᒪ."
I've been here for a year.," , ᐊᕐᕌᒍᒥᒃ , ᑕᒫᓃᓕᕋᒪ."
I've been here for almost three hours.," , ᐃᑲᕐᕋᓂᒃ , ᐱᖓᓱᑲᓴᓐᓂᒃ , ᑕᒫᓃᓕᕋᒪ."
I've been here for an hour.," , ᐃᑲᕐᕋᒥᒃ , ᐊᑕᐅᓯᕐᒥᒃ , ᑕᒫᓃᓕᕋᒪ."
I've been here for thirty minutes.," , 30-ᒥᓂᔅᒥᒃ , ᑕᒫᓃᓕᕋᒪ."
I've been here for three days.," , ᐅᓪᓗᓄᑦ , ᐱᖓᓱᓄᑦ , ᑕᒫᓃᓕᕋᒪ."
I've been here several times this year.," , ᐊᒥᓱᐊᖅᑎᑲᓪᓚᒃ , ᑕᒫᓃᖃᑦᑕᖅᓯᒪᕗᖓ , ᑕᕝᕙᓂ , ᐊᕐᕌᒍᒥ."
I've been here since 2013.," , 2013−ᒥᓂᑦ , ᑕᕝᕙᓃᓕᖅᑐᖓ."
I've been here thirty minutes.," , 30-ᒥᓂᔅᒥᒃ , ᑕᕝᕙᓃᒃᑲᒪ."
I've been honest with you.," , ᓱᓕᑦᑎᐊᖅᑐᖓ , ᐃᓕᒃᓯᓐᓂᒃ."
I've been hoping to meet you.," , ᑲᑎᖃᑎᒋᔪᒪᒐᓗᐊᖅᐸᒋᑦ."
I've been hungry all day.," , ᐅᓪᓗᓕᒫᖅ , ᑳᐃᓐᓇᕋᒪ."
I've been in Australia several years.," , ᐋᔅᑐᕋᐃᓕᐊᒦᓕᕋᒪ , ᐊᕐᕌᒍᒐᓴᐅᓕᖅᑐᓂᑦ."
I've been in Australia since Monday.," , ᐋᔅᑐᕇᓕᐊᒦᓕᕋᒪ , ᓇᒡᒐᔾᔭᐅᒥᓂᑦ."
I've been in Boston before.," , ᐹᔅᑕᓐᒦᓚᐅᖅᓯᒪᒻᒥᒐᒪ."
I've been in Boston for a few months.," , ᐹᔅᑕᓐᒦᓕᕋᒪ , ᑕᖅᑭᒐᓚᐅᓕᖅᑐᓂᑦ."
I've been in Boston for less than a month.," , ᐹᔅᑕᓐᒦᓕᕋᒪ , ᑕᖅᑭᐅᖏᑦᑐᒥᒃ."
I've been in Boston for three years.," , ᐹᔅᑕᓐᒦᓕᕋᒪ , ᐊᕐᕌᒍᓄᑦ , ᐱᖓᓱᓄᑦ."
I've been in Boston.," , ᐹᔅᑕᓐᒦᓕᕋᒪ."
I've been in business thirty years.," , ᐱᓕᕆᓯᒪᓕᕋᒪ , 30-ᓂᒃ , ᐊᕐᕌᒍᓂᒃ."
I've been in contact with Tom.," , ᑖᒻ , ᐅᖃᖃᑎᒋᓯᒪᕙᕋ."
I've been in love before.," , ᓇᓪᓕᒋᓯᒪᒻᒥᔭᕋ."
I've been in this situation before.," , ᑕᐃᒪᐃᖃᑦᑕᖅᓯᒪᕗᖓ , ᑭᖑᓂᑦᑎᓐᓂ."
"I've been invited on a trip abroad, but I don't want to go."," , ᑲᓇᑕᐅᑉ , ᓯᓚᑖᓄᑦ , ᖃᐃᖁᔭᐅᓯᒪᒐᓗᐊᖅᑐᖓ, , ᑭᓯᐊᓂ , ᐅᐸᒍᒪᓐᖏᓐᓇᒪ."
I've been kidnapped before.," , ᓱᕈᓯᐅᓚᐅᖅᓯᒪᒻᒥᒐᒪ."
I've been laid off.," , ᓄᖅᑲᖅᑎᑕᐅᓯᒪᒐᒪ."
I've been listening to jazz all morning.," , ᐅᓪᓛᓕᒫᖅ , ᓈᓚᐃᓐᓇᕋᒪ."
I've been listening to you.," , ᓈᓚᒃᓯᒪᒐᒃᑭᑦ."
I've been living here for a long time.," , ᐊᑯᓂᒃ , ᑕᒫᓂᒥᐅᑕᐅᓕᕋᒪ."
I've been living here for these ten years.," , ᑕᒫᓂᒥᐅᑕᐅᓕᕋᒪ , ᐊᕐᕌᒍᓄᑦ , ᖁᓕᓄᑦ."
I've been living here since 2013.," , 2013-ᒥᓂᑦ , ᑕᒫᓂ , ᓄᓇᖃᖅᓯᒪᕗᖓ."
I've been living here since October.," , ᑕᒫᓂᒥᐅᑕᐅᓯᒪᓕᕋᒪ , ᐅᑐᐱᕆᒥᓂᑦ."
I've been living in Boston since I was thirteen.," , ᐹᔅᑕᓐᒥᐅᑕᐅᓯᒪᓕᕋᒪ , 13-ᖑᓚᐅᖅᓯᒪᒐᒪᓂᑦ."
I've been living in a cave.," , ᐃᓅᓯᒪᕗᖓ , ᑳᐱᑐᖅᑐᖓ."
I've been living with my uncle for a month.," , ᐊᒃᑲᒐ , ᑕᖅᑭᒥᒃ , ᐃᓅᖃᑎᒋᓯᒪᓕᕋᒃᑯ."
I've been looking for a girl like you.," , ᐊᕐᓇᒥᒃ , ᕿᓂᖅᓯᒪᕗᖓ , ᐃᕝᕕᑎᑐᑦ."
I've been looking for a new job for a long time.," , ᕿᓂᖅᓯᒪᓕᕋᒪ , ᓄᑖᒥᒃ , ᐃᖅᑲᓇᐃᔮᒃᓴᒥᒃ , ᐊᑯᓂᒃ."
I've been looking for my keys all day.," , ᐅᓪᓗᓕᒫᖅ , ᑮᒃᑲ , ᕿᓂᐃᓐᓇᖃᑦᑕᕋᒃᑭᑦ."
I've been looking for you.," , ᕿᓂᖅᓯᒪᒐᒃᑭᑦ."
I've been lucky.," , ᖁᕕᐊᓇᖅ."
I've been lying to Tom.," , ᑖᒻᒧᑦ , ᓴᒡᓗᓯᒪᕗᖓ."
I've been lying to you the whole time.," , ᐃᓕᔅᓯᓐᓄᑦ , ᓇᓚᖃᑦᑕᖅᓯᒪᕗᖓ."
I've been lying to you.," , ᓴᒡᓗᓯᒪᕗᖓ , ᐃᓕᓐᓄᑦ."
I've been notified.," , ᖃᐅᔨᒃᑲᖅᑕᐅᓯᒪᕗᖓ."
I've been offered a job in Boston.," , ᑐᓂᔭᐅᓯᒪᒐᒪ , ᐃᖅᑲᓇᐃᔮᒥᒃ , ᐹᔅᑕᓐᒥ."
I've been on a diet for more than a year.," , ᐊᕐᕌᒍ , ᐅᖓᑖᓄᑦ , ᓂᕆᓯᒪᓕᕋᒪ."
I've been ordered to do that.," , ᑎᓕᔭᐅᓯᒪᒐᒪ , ᑕᐃᒪᐃᖁᔭᐅᓪᓗᖓ."
I've been ordered to kill you.," , ᑎᓕᔭᐅᓯᒪᒐᒪ , ᑐᖁᑦᑎᖁᔭᐅᓪᓗᖓ."
I've been out of work for a year.," , ᐃᖅᑲᓇᐃᔭᖅᓯᒪᓕᕋᒪ , ᐊᕐᕌᒍᒥᒃ , ᐊᑕᐅᓯᕐᒥ."
I've been poisoned.," , ᑐᖁᓐᓇᖅᑐᖃᖅᓯᒪᕗᖓ."
I've been practicing.," , ᐊᔪᕈᓐᓃᖅᓴᖅᓯᒪᕗᖓ."
I've been reading this book.," , ᑖᓐᓇ , ᐅᖃᓕᒫᖅᓯᒪᒐᒃᑯ."
I've been really lucky.," , ᐊᒃᓱᐊᓗᒃ , ᖁᕕᐊᓇᖅᑐᖅ."
I've been released.," , ᓴᖅᑭᑕᐅᓯᒪᒐᒪ."
I've been robbed again.," , ᑲᑉᐱᐊᓱᒃᑲᓐᓂᓕᕆᕗᖓ."
I've been robbed.," , ᑲᑉᐱᐊᓱᓕᕋᒪ."
I've been selected.," , ᓂᕈᐊᖅᑕᐅᓯᒪᒐᒪ."
I've been sick for three weeks.," , ᖃᓂᒪᓕᕋᒪ , ᐱᓇᓱᐊᕈᓯᕐᓂᒃ , ᐱᖓᓱᓂᒃ."
I've been sick since last Monday.," , ᖃᓂᒪᓯᒪᓕᕋᒪ , ᓇᒡᒐᔾᔭᐅᖑᓚᐅᖅᑐᒥᓂᑦ."
I've been sick.," , ᖃᓂᒪᓕᕋᒪ."
I've been singing a lot lately.," , ᐃᙱᑲᑕᐃᓐᓇᓕᕋᒪ."
I've been sneezing all afternoon.," , ᐅᓐᓄᓴᓕᒫᖅ , ᑕᒋᐅᖏᓐᓇᕋᒪ."
"I've been studying French for a long time, but I'm not fluent."," , ᐅᐃᕖᑎᑐᑦ , ᐃᓕᓐᓂᐊᖅᓯᒪᓕᕋᒪ , ᐊᑯᓂᐊᓗᒃ, , ᑭᓯᐊᓂ , ᐅᖃᕈᓐᓇᑦᑎᐊᖏᓐᓇᒪ."
I've been studying French for a very long time.," , ᐅᐃᕖᑎᑐᑦ , ᐃᓕᓐᓂᐊᖅᓯᒪᓕᕋᒪ , ᐊᑯᓂᐊᓗᒃ."
